case_id,dtype,optimizer,path,status,cli_optimizer,optimizer_key,optimizer_name,optimizer_class,optimizer_source,steps_completed,first_step_sec,median_step_sec,tok_sec,step_sec,compile_time_s,peak_memory_gb,active_memory_gb,cache_memory_gb,cache_hit,selected_schedule,proof_result,pass_fail_reason,cppmega_sha,tilelang_sha,mlx_sha,mlx_version,command,receipt_path,returncode,duration_s
bf16_adamw_path_b,bf16,adamw,path_b,ok,adamw,adamw,AdamW,cppmega_mlx.training.optimizers.AdamWFP32Moments,cppmega_mlx.training.optimizers.make_adamw,20,8.980897834000643,3.085768166987691,603.0452641210798,3.5437219955753165,8.980897834000643,29.14189625531435,17.09050372056663,33.93797220475972,,"{""kernel_counts"": {""metal_kernel_fwd_v1"": 160}, ""op_kernel"": {""m2rnn"": ""metal_kernel_fwd_v1"", ""mamba3_mimo"": ""metal_kernel_fwd_v1""}, ""path_counts"": {""path_b"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_b"", ""path_c_requested"": false, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,430983d,2d23cd19,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer adamw --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c/bf16_adamw_path_b.json --json,reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c/bf16_adamw_path_b.json,0,0.0
bf16_adamw_path_c_cold,bf16,adamw,path_c_cold,ok,adamw,adamw,AdamW,cppmega_mlx.training.optimizers.AdamWFP32Moments,cppmega_mlx.training.optimizers.make_adamw,20,26.94510920799803,3.565115750010591,549.604347444046,3.5644368530009065,26.94510920799803,33.747842900455,17.09046784043312,0.0,False,"{""kernel_counts"": {""path_c_tilelang_dsl"": 120, ""path_c_tilelang_dsl_packed_post"": 40}, ""op_kernel"": {""m2rnn"": ""path_c_tilelang_dsl_packed_post"", ""mamba3_mimo"": ""path_c_tilelang_dsl""}, ""path_counts"": {""path_c"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_c_cold"", ""path_c_requested"": true, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,430983d,2d23cd19,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer adamw --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c/bf16_adamw_path_c_cold.json --json,reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c/bf16_adamw_path_c_cold.json,0,0.0
bf16_adamw_path_c_warm,bf16,adamw,path_c_warm,ok,adamw,adamw,AdamW,cppmega_mlx.training.optimizers.AdamWFP32Moments,cppmega_mlx.training.optimizers.make_adamw,20,12.707839209004305,3.489547749981284,564.1227785272629,3.4975092346338847,12.707839209004305,33.747842900455,17.09046784043312,0.0,True,"{""kernel_counts"": {""path_c_tilelang_dsl"": 120, ""path_c_tilelang_dsl_packed_post"": 40}, ""op_kernel"": {""m2rnn"": ""path_c_tilelang_dsl_packed_post"", ""mamba3_mimo"": ""path_c_tilelang_dsl""}, ""path_counts"": {""path_c"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_c_warm"", ""path_c_requested"": true, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,430983d,2d23cd19,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer adamw --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c/bf16_adamw_path_c_warm.json --json,reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c/bf16_adamw_path_c_warm.json,0,0.0
bf16_adam8bit_path_b,bf16,adam8bit,path_b,ok,adam8bit,adam8bit,Adam8bit,cppmega_mlx.training.optimizers_quantized.Adam8bit,cppmega_mlx.training.optimizers_quantized.make_adam8bit,20,2.223406334000174,1.9954570409900043,1007.7570550310787,2.0239171053169565,2.223406334000174,21.04449712112546,6.897970385849476,31.872893935069442,,"{""kernel_counts"": {""metal_kernel_fwd_v1"": 160}, ""op_kernel"": {""m2rnn"": ""metal_kernel_fwd_v1"", ""mamba3_mimo"": ""metal_kernel_fwd_v1""}, ""path_counts"": {""path_b"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_b"", ""path_c_requested"": false, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,430983d,2d23cd19,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer adam8bit --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c/bf16_adam8bit_path_b.json --json,reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c/bf16_adam8bit_path_b.json,0,0.0
bf16_adam8bit_path_c_cold,bf16,adam8bit,path_c_cold,ok,adam8bit,adam8bit,Adam8bit,cppmega_mlx.training.optimizers_quantized.Adam8bit,cppmega_mlx.training.optimizers_quantized.make_adam8bit,20,24.034742833988275,2.3077932499872986,845.2832497697995,2.3123271777386485,24.034742833988275,23.555237494409084,6.897862434387207,0.0,False,"{""kernel_counts"": {""path_c_tilelang_dsl"": 120, ""path_c_tilelang_dsl_packed_post"": 40}, ""op_kernel"": {""m2rnn"": ""path_c_tilelang_dsl_packed_post"", ""mamba3_mimo"": ""path_c_tilelang_dsl""}, ""path_counts"": {""path_c"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_c_cold"", ""path_c_requested"": true, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,430983d,2d23cd19,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer adam8bit --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c/bf16_adam8bit_path_c_cold.json --json,reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c/bf16_adam8bit_path_c_cold.json,0,0.0
bf16_adam8bit_path_c_warm,bf16,adam8bit,path_c_warm,ok,adam8bit,adam8bit,Adam8bit,cppmega_mlx.training.optimizers_quantized.Adam8bit,cppmega_mlx.training.optimizers_quantized.make_adam8bit,20,11.740427332988475,2.354022082989104,835.9151376737507,2.351112697419012,11.740427332988475,23.555237494409084,6.897862434387207,0.0,True,"{""kernel_counts"": {""path_c_tilelang_dsl"": 120, ""path_c_tilelang_dsl_packed_post"": 40}, ""op_kernel"": {""m2rnn"": ""path_c_tilelang_dsl_packed_post"", ""mamba3_mimo"": ""path_c_tilelang_dsl""}, ""path_counts"": {""path_c"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_c_warm"", ""path_c_requested"": true, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,430983d,2d23cd19,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer adam8bit --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c/bf16_adam8bit_path_c_warm.json --json,reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c/bf16_adam8bit_path_c_warm.json,0,0.0
bf16_lion_path_b,bf16,lion,path_b,ok,lion,lion,Lion,cppmega_mlx.training.optimizers.LionFP32Moments,cppmega_mlx.training.optimizers.make_lion,20,3.9574336660152767,2.5099109160073567,791.4325020397375,2.5458858682602448,3.9574336660152767,33.51373466104269,10.254422707483172,41.9062117729336,,"{""kernel_counts"": {""metal_kernel_fwd_v1"": 160}, ""op_kernel"": {""m2rnn"": ""metal_kernel_fwd_v1"", ""mamba3_mimo"": ""metal_kernel_fwd_v1""}, ""path_counts"": {""path_b"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_b"", ""path_c_requested"": false, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,430983d,2d23cd19,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer lion --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c/bf16_lion_path_b.json --json,reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c/bf16_lion_path_b.json,0,0.0
bf16_lion_path_c_cold,bf16,lion,path_c_cold,ok,lion,lion,Lion,cppmega_mlx.training.optimizers.LionFP32Moments,cppmega_mlx.training.optimizers.make_lion,20,25.40302758399048,3.0427254169771913,636.2971818813924,3.0772112433103183,25.40302758399048,26.911674097180367,10.25429903715849,0.0,False,"{""kernel_counts"": {""path_c_tilelang_dsl"": 120, ""path_c_tilelang_dsl_packed_post"": 40}, ""op_kernel"": {""m2rnn"": ""path_c_tilelang_dsl_packed_post"", ""mamba3_mimo"": ""path_c_tilelang_dsl""}, ""path_counts"": {""path_c"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_c_cold"", ""path_c_requested"": true, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,430983d,2d23cd19,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer lion --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c/bf16_lion_path_c_cold.json --json,reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c/bf16_lion_path_c_cold.json,0,0.0
bf16_lion_path_c_warm,bf16,lion,path_c_warm,ok,lion,lion,Lion,cppmega_mlx.training.optimizers.LionFP32Moments,cppmega_mlx.training.optimizers.make_lion,20,12.204115542001091,3.1395632089988794,627.4176768435537,3.141954171001041,12.204115542001091,26.911674097180367,10.25429903715849,0.0,True,"{""kernel_counts"": {""path_c_tilelang_dsl"": 120, ""path_c_tilelang_dsl_packed_post"": 40}, ""op_kernel"": {""m2rnn"": ""path_c_tilelang_dsl_packed_post"", ""mamba3_mimo"": ""path_c_tilelang_dsl""}, ""path_counts"": {""path_c"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_c_warm"", ""path_c_requested"": true, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,430983d,2d23cd19,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer lion --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c/bf16_lion_path_c_warm.json --json,reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c/bf16_lion_path_c_warm.json,0,0.0
bf16_lion8bit_path_b,bf16,lion8bit,path_b,ok,lion8bit,lion8bit,Lion8bit,cppmega_mlx.training.optimizers_quantized.Lion8bit,cppmega_mlx.training.optimizers_quantized.make_lion8bit,20,2.1705948330054525,1.955116957979044,1027.635096660219,1.9846331710501353,2.1705948330054525,19.268484942615032,5.157893309369683,31.26641882956028,,"{""kernel_counts"": {""metal_kernel_fwd_v1"": 160}, ""op_kernel"": {""m2rnn"": ""metal_kernel_fwd_v1"", ""mamba3_mimo"": ""metal_kernel_fwd_v1""}, ""path_counts"": {""path_b"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_b"", ""path_c_requested"": false, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,430983d,2d23cd19,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer lion8bit --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c/bf16_lion8bit_path_b.json --json,reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c/bf16_lion8bit_path_b.json,0,0.0
bf16_lion8bit_path_c_cold,bf16,lion8bit,path_c_cold,ok,lion8bit,lion8bit,Lion8bit,cppmega_mlx.training.optimizers_quantized.Lion8bit,cppmega_mlx.training.optimizers_quantized.make_lion8bit,20,24.896707417006837,2.25033604199416,866.9125346121991,2.254128171051362,24.896707417006837,21.815153805539012,5.157778745517135,0.0,False,"{""kernel_counts"": {""path_c_tilelang_dsl"": 120, ""path_c_tilelang_dsl_packed_post"": 40}, ""op_kernel"": {""m2rnn"": ""path_c_tilelang_dsl_packed_post"", ""mamba3_mimo"": ""path_c_tilelang_dsl""}, ""path_counts"": {""path_c"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_c_cold"", ""path_c_requested"": true, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,430983d,2d23cd19,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer lion8bit --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c/bf16_lion8bit_path_c_cold.json --json,reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c/bf16_lion8bit_path_c_cold.json,0,0.0
bf16_lion8bit_path_c_warm,bf16,lion8bit,path_c_warm,ok,lion8bit,lion8bit,Lion8bit,cppmega_mlx.training.optimizers_quantized.Lion8bit,cppmega_mlx.training.optimizers_quantized.make_lion8bit,20,11.442126374982763,2.3162443329929374,847.548014661146,2.319144655633289,11.442126374982763,21.815153805539012,5.157778745517135,0.0,True,"{""kernel_counts"": {""path_c_tilelang_dsl"": 120, ""path_c_tilelang_dsl_packed_post"": 40}, ""op_kernel"": {""m2rnn"": ""path_c_tilelang_dsl_packed_post"", ""mamba3_mimo"": ""path_c_tilelang_dsl""}, ""path_counts"": {""path_c"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_c_warm"", ""path_c_requested"": true, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,430983d,2d23cd19,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer lion8bit --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c/bf16_lion8bit_path_c_warm.json --json,reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c/bf16_lion8bit_path_c_warm.json,0,0.0
bf16_muon_path_b,bf16,muon,path_b,ok,muon,muon_adamw,MuonAdamW,cppmega_mlx.training.optimizers.MuonAdamWMulti,cppmega_mlx.training.optimizers.make_muon,20,8.958385750011075,7.967593250010395,252.8842861021203,8.081283493477569,8.958385750011075,24.590936720371246,12.060717541724443,36.909798704087734,,"{""kernel_counts"": {""metal_kernel_fwd_v1"": 160}, ""op_kernel"": {""m2rnn"": ""metal_kernel_fwd_v1"", ""mamba3_mimo"": ""metal_kernel_fwd_v1""}, ""path_counts"": {""path_b"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_b"", ""path_c_requested"": false, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,430983d,2d23cd19,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer muon --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c/bf16_muon_path_b.json --json,reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c/bf16_muon_path_b.json,0,0.0
bf16_muon_path_c_cold,bf16,muon,path_c_cold,ok,muon,muon_adamw,MuonAdamW,cppmega_mlx.training.optimizers.MuonAdamWMulti,cppmega_mlx.training.optimizers.make_muon,20,31.23594004099141,8.439460790978046,234.3578206228827,8.416340455893843,31.23594004099141,28.71805776283145,12.060682702809572,0.0,False,"{""kernel_counts"": {""path_c_tilelang_dsl"": 120, ""path_c_tilelang_dsl_packed_post"": 40}, ""op_kernel"": {""m2rnn"": ""path_c_tilelang_dsl_packed_post"", ""mamba3_mimo"": ""path_c_tilelang_dsl""}, ""path_counts"": {""path_c"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_c_cold"", ""path_c_requested"": true, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,430983d,2d23cd19,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer muon --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c/bf16_muon_path_c_cold.json --json,reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c/bf16_muon_path_c_cold.json,0,0.0
bf16_muon_path_c_warm,bf16,muon,path_c_warm,ok,muon,muon_adamw,MuonAdamW,cppmega_mlx.training.optimizers.MuonAdamWMulti,cppmega_mlx.training.optimizers.make_muon,20,29.7770377919951,8.220236624998506,239.83248240496354,8.226444017525003,29.7770377919951,28.71805776283145,12.060682702809572,0.0,True,"{""kernel_counts"": {""path_c_tilelang_dsl"": 120, ""path_c_tilelang_dsl_packed_post"": 40}, ""op_kernel"": {""m2rnn"": ""path_c_tilelang_dsl_packed_post"", ""mamba3_mimo"": ""path_c_tilelang_dsl""}, ""path_counts"": {""path_c"": 160}}","{""fp8_path_c_route_status"": ""not_requested"", ""kernel_surface_available"": true, ""path"": ""path_c_warm"", ""path_c_requested"": true, ""proof_source"": ""per-kernel TileLang route receipts plus runtime dispatch log""}",ok,430983d,2d23cd19,d168ca5ca,0.32.0.dev20260514+d168ca5ca,/Volumes/external/sources/nanochat/.venv/bin/python scripts/m04_train_step.py --model-profile local_gb10_quarter --data-path data/parquet_samples/gb10/clang_semantic_4k_v10/val_00000.parquet --data-format parquet --token-key token_ids --steps 20 --batch-size 1 --seq-len 2048 --dtype bfloat16 --optimizer muon --optimizer-quant-scheme dynamic_int8_v1 --lr 1e-4 --grad-checkpoint --output reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c/bf16_muon_path_c_warm.json --json,reports/raw/cppmega_1b_path_matrix_cells_20260518_full_path_c/bf16_muon_path_c_warm.json,0,242.7270258339995
